Vehicle_ID,Region_Type,Vehicle_Type,Speed_kmph,Acceleration_mps2,RSU_Energy_Source,RSU_Power_kW,Traffic_Density_Vehicles_per_km,Distance_to_RSU_m,Signal_Strength_dBm,Packet_Size_KB,Transmission_Latency_ms,Energy_Consumption_J,Carbon_Emission_gCO2,Optimal_Route_Score,Carbon_Emission_Level
V0218,Highway,EV,65.38,1.13,Hybrid,3.56,177,539.05,-45.66,394,74.39,281.07,140.54,77.95,Low
V0219,Urban,EV,43.61,-0.75,Hybrid,7.22,75,537.6,-45.56,318,48.06,112.62,56.31,95.37,Low
V0220,Urban,Truck,27.35,-2.0,Non-Renewable,8.25,96,151.86,-52.71,889,70.01,156.64,156.64,75.81,Medium
V0221,Urban,Bus,36.98,-0.42,Hybrid,8.33,88,452.31,-88.24,745,39.19,251.59,125.8,75.0,Low
V0222,Highway,Bus,71.98,-2.14,Hybrid,6.82,32,479.75,-61.25,822,68.44,134.99,67.5,76.78,Low
V0223,Suburban,Car,53.7,2.34,Hybrid,6.09,90,746.96,-50.67,317,8.86,170.87,85.44,110.96,Low
V0224,Suburban,EV,102.89,-0.92,Non-Renewable,2.49,57,848.02,-89.14,218,42.12,290.47,290.47,64.85,Medium
V0225,Urban,Bus,63.09,-2.07,Hybrid,4.3,133,567.73,-62.52,820,80.13,424.67,212.34,63.06,Medium
V0226,Suburban,Truck,44.87,-2.85,Non-Renewable,2.75,139,132.44,-47.11,788,81.29,230.83,230.83,69.26,Medium
V0227,Suburban,Truck,81.71,0.87,Non-Renewable,9.71,93,275.01,-66.29,82,73.03,372.64,372.64,56.71,High
V0228,Highway,EV,90.68,0.82,Renewable,3.08,29,206.69,-89.79,426,24.4,444.51,88.9,83.46,Low
V0229,Highway,Truck,36.7,-0.96,Renewable,3.21,196,168.38,-89.45,263,28.48,147.34,29.47,84.56,Low
V0230,Highway,Truck,36.76,-2.57,Hybrid,9.12,55,397.6,-69.17,611,99.63,413.24,206.62,50.27,Medium
V0231,Highway,EV,23.67,-0.54,Non-Renewable,9.55,140,267.92,-82.25,489,14.82,390.83,390.83,76.92,High
V0232,Urban,Bus,93.64,-1.13,Renewable,8.13,192,257.39,-56.78,541,22.16,210.62,42.12,103.42,Low
V0233,Highway,Bus,86.38,1.06,Hybrid,2.04,21,101.96,-54.56,442,17.35,495.28,247.64,96.66,Medium
V0234,Suburban,Truck,67.46,0.63,Renewable,2.01,49,66.79,-81.11,538,36.13,168.16,33.63,84.7,Low
V0235,Urban,Truck,104.42,-0.81,Renewable,5.02,75,147.63,-45.57,771,24.97,164.66,32.93,108.08,Low
V0236,Suburban,Bus,100.57,-1.69,Non-Renewable,3.15,109,213.59,-67.9,995,52.28,397.52,397.52,65.03,High
V0237,Suburban,EV,78.54,2.93,Non-Renewable,2.15,87,459.43,-82.86,78,50.22,245.6,245.6,66.18,Medium
V0238,Suburban,Truck,106.83,-0.28,Renewable,5.71,25,534.99,-51.79,88,90.64,198.86,39.77,71.8,Low
V0239,Highway,Car,40.58,1.13,Renewable,9.54,92,183.56,-50.5,908,8.3,130.4,26.08,114.3,Low
V0240,Highway,EV,31.19,-2.16,Non-Renewable,4.59,171,453.54,-58.04,661,35.39,394.4,394.4,78.57,High
V0241,Urban,Truck,46.97,-0.09,Hybrid,7.29,53,374.66,-47.33,222,61.68,403.84,201.92,80.4,Medium
V0242,Urban,Truck,25.71,-2.83,Non-Renewable,7.22,143,224.25,-53.13,66,62.46,304.95,304.95,71.96,High
V0243,Highway,Car,73.12,0.03,Renewable,4.01,109,56.5,-45.89,105,50.61,480.79,96.16,91.94,Low
V0244,Suburban,Car,113.66,2.78,Hybrid,7.2,31,493.67,-68.31,275,82.49,193.17,96.58,64.77,Low
V0245,Urban,Bus,23.93,-0.69,Renewable,3.7,27,701.37,-52.62,607,10.96,148.83,29.77,111.72,Low
V0246,Highway,EV,32.21,-2.77,Hybrid,2.98,21,264.96,-40.01,116,82.47,354.86,177.43,74.89,Medium
V0247,Highway,EV,65.22,-2.81,Renewable,7.61,189,175.22,-53.75,246,52.0,391.28,78.26,88.21,Low
V0248,Highway,Bus,113.39,-0.67,Hybrid,2.91,132,892.69,-84.29,703,17.71,151.21,75.6,90.22,Low
V0249,Suburban,EV,51.62,-2.04,Hybrid,9.98,126,311.27,-64.08,884,89.14,84.47,42.24,66.28,Low
V0250,Highway,EV,70.72,-2.86,Renewable,3.47,60,262.43,-60.63,72,66.68,414.73,82.95,77.2,Low
V0251,Highway,EV,24.16,1.54,Hybrid,6.75,80,864.24,-81.29,655,20.54,489.43,244.72,81.85,Medium
V0252,Highway,EV,34.83,-0.25,Non-Renewable,5.29,57,826.25,-41.86,803,8.2,340.1,340.1,102.96,High
V0253,Highway,EV,118.66,-1.26,Renewable,3.01,28,475.93,-81.22,286,18.41,175.04,35.01,93.43,Low
V0254,Urban,Car,116.51,2.4,Non-Renewable,2.22,15,514.78,-81.12,1006,62.84,498.5,498.5,48.1,High
V0255,Urban,EV,20.49,-2.3,Renewable,6.98,93,256.86,-44.24,968,22.03,451.97,90.39,107.35,Low
V0256,Highway,Car,115.18,2.74,Hybrid,8.45,164,124.39,-66.74,972,26.45,281.02,140.51,91.38,Low
V0257,Suburban,EV,83.91,-1.12,Hybrid,8.74,62,594.76,-86.84,615,7.39,421.39,210.7,87.35,Medium
V0258,Urban,Bus,106.79,2.33,Hybrid,5.86,116,143.43,-60.09,187,73.68,417.12,208.56,67.69,Medium
V0259,Highway,Truck,65.47,0.62,Renewable,8.22,110,476.81,-59.91,522,81.98,470.66,94.13,69.35,Low
V0260,Urban,Car,71.56,1.96,Non-Renewable,7.38,57,943.47,-86.77,894,80.7,428.42,428.42,39.84,High
V0261,Urban,EV,68.88,2.9,Non-Renewable,7.79,144,955.19,-41.37,833,17.12,339.66,339.66,98.77,High
V0262,Suburban,Bus,86.69,-1.27,Renewable,5.94,196,277.37,-62.8,602,90.81,324.19,64.84,64.95,Low
V0263,Highway,Truck,33.97,2.77,Renewable,7.07,78,642.91,-62.01,659,68.87,260.31,52.06,76.96,Low
V0264,Highway,Car,23.0,-0.66,Non-Renewable,8.44,20,500.37,-63.99,744,90.27,331.92,331.92,51.27,High
V0265,Suburban,Truck,50.79,-0.69,Non-Renewable,5.18,152,881.9,-59.46,689,47.48,407.85,407.85,71.14,High
V0266,Suburban,Bus,90.47,-0.96,Non-Renewable,8.45,140,307.86,-76.79,278,46.51,486.07,486.07,59.05,High
V0267,Highway,Car,40.19,0.25,Non-Renewable,6.74,131,53.52,-75.64,366,79.53,260.28,260.28,54.4,Medium
V0268,Highway,Truck,87.34,-2.08,Renewable,3.33,78,204.43,-64.43,647,13.86,308.14,61.63,102.77,Low
V0269,Suburban,EV,116.99,0.32,Renewable,2.2,32,382.05,-49.67,817,54.48,250.16,50.03,90.42,Low
V0270,Urban,Car,29.39,0.25,Hybrid,4.9,190,349.94,-87.51,770,84.46,350.82,175.41,50.24,Medium
V0271,Urban,Truck,87.26,1.57,Non-Renewable,6.37,46,801.79,-59.83,776,83.87,333.46,333.46,56.48,High
V0272,Suburban,Bus,64.38,2.0,Hybrid,8.72,18,696.53,-49.66,935,95.83,58.03,29.02,70.8,Low
V0273,Urban,Bus,106.81,-0.36,Renewable,3.02,24,334.58,-82.15,661,71.34,293.52,58.7,65.32,Low
V0274,Suburban,Car,37.71,-1.19,Renewable,8.4,140,484.86,-89.25,610,24.74,89.82,17.96,87.11,Low
V0275,Urban,Truck,89.26,-1.44,Hybrid,8.9,102,140.78,-74.36,250,6.93,61.87,30.94,102.81,Low
V0276,Urban,Car,103.81,-1.83,Non-Renewable,3.21,26,903.24,-60.59,997,50.54,406.04,406.04,69.13,High
V0277,Highway,Car,114.46,-2.65,Non-Renewable,8.81,163,938.65,-83.09,307,53.8,166.39,166.39,68.24,Medium
V0278,Highway,Truck,88.32,-0.95,Non-Renewable,9.93,158,980.81,-68.69,529,27.82,203.29,203.29,86.58,Medium
V0279,Urban,Truck,69.72,-1.38,Non-Renewable,7.81,81,875.13,-62.38,937,16.85,78.84,78.84,101.44,Low
V0280,Urban,EV,81.78,2.8,Hybrid,8.28,158,215.26,-60.06,227,60.69,130.78,65.39,81.36,Low
V0281,Highway,Truck,106.89,0.35,Hybrid,9.96,130,93.89,-76.28,806,77.6,394.52,197.26,58.2,Medium
V0282,Highway,Bus,77.06,-0.92,Renewable,6.84,20,600.62,-70.0,172,99.35,272.09,54.42,57.6,Low
V0283,Highway,Car,23.04,0.48,Non-Renewable,4.46,175,916.97,-51.08,391,77.04,446.3,446.3,58.62,High
V0284,Suburban,Car,113.09,-2.16,Non-Renewable,8.7,81,218.48,-42.94,220,80.4,228.76,228.76,71.89,Medium
V0285,Urban,Bus,88.95,-0.34,Non-Renewable,6.92,115,56.69,-46.91,894,63.56,170.92,170.92,81.22,Medium
V0286,Highway,Truck,87.65,0.76,Hybrid,6.65,134,815.22,-61.79,697,98.66,206.42,103.21,59.61,Low
V0287,Urban,Bus,41.57,-0.07,Non-Renewable,4.03,44,122.96,-69.49,108,65.8,370.75,370.75,58.82,High
V0288,Suburban,Bus,85.89,-0.59,Hybrid,8.05,128,443.02,-73.35,754,86.72,299.75,149.88,57.47,Low
V0289,Suburban,EV,59.39,2.96,Non-Renewable,2.65,23,694.94,-83.75,514,94.85,456.89,456.89,32.86,High
V0290,Highway,Bus,85.12,2.28,Non-Renewable,9.39,23,274.96,-84.67,829,93.34,320.98,320.98,39.95,High
V0291,Suburban,Car,30.66,0.74,Renewable,4.61,19,129.76,-55.58,309,41.23,271.86,54.37,93.88,Low
V0292,Urban,Bus,85.78,0.42,Non-Renewable,3.02,149,781.52,-77.01,422,12.47,403.59,403.59,80.08,High
V0293,Highway,Car,119.94,0.72,Non-Renewable,5.54,47,648.67,-77.27,1022,21.33,476.39,476.39,71.88,High
V0294,Urban,Car,24.82,-1.79,Renewable,2.34,117,989.07,-40.09,144,10.63,210.13,42.03,117.54,Low
V0295,Urban,Car,117.72,-0.63,Hybrid,7.48,128,377.09,-80.6,174,15.01,162.44,81.22,93.13,Low
V0296,Suburban,Truck,60.69,-2.76,Hybrid,9.22,43,108.67,-82.6,90,22.54,327.3,163.65,84.25,Medium
V0297,Suburban,EV,107.08,-0.15,Non-Renewable,8.7,178,747.63,-85.07,940,37.4,274.49,274.49,70.04,Medium
V0298,Suburban,Car,98.24,0.26,Hybrid,3.02,19,545.65,-61.01,303,56.64,495.13,247.56,73.8,Medium
V0299,Suburban,Car,76.7,-1.63,Non-Renewable,3.01,131,252.54,-58.61,56,72.61,258.06,258.06,66.49,Medium
V0300,Suburban,Truck,93.84,2.78,Renewable,8.51,154,792.64,-71.74,520,25.04,83.45,16.69,95.78,Low
V0301,Highway,Car,107.85,2.46,Renewable,9.39,154,243.57,-63.23,777,68.89,489.82,97.96,74.04,Low
V0302,Urban,Bus,60.41,1.33,Non-Renewable,5.69,199,297.63,-50.58,560,71.9,429.61,429.61,62.28,High
V0303,Urban,Bus,52.7,0.2,Renewable,5.99,124,137.9,-49.09,630,58.07,130.21,26.04,90.12,Low
V0304,Urban,EV,86.76,2.22,Renewable,4.55,10,429.46,-42.1,118,90.84,457.07,91.41,73.96,Low
V0305,Urban,Car,100.78,-2.22,Non-Renewable,9.15,21,447.98,-48.79,130,15.54,203.3,203.3,102.67,Medium
V0306,Suburban,Truck,96.23,1.74,Non-Renewable,7.16,112,538.83,-61.76,591,21.83,219.7,219.7,92.22,Medium
V0307,Urban,Bus,99.78,-2.25,Renewable,4.31,13,723.52,-81.02,634,45.72,457.88,91.58,77.05,Low
V0308,Highway,Truck,63.56,1.77,Hybrid,4.39,179,910.8,-85.01,311,17.04,288.55,144.28,86.76,Low
V0309,Highway,Truck,101.78,-1.35,Hybrid,9.13,150,180.85,-87.27,138,58.8,111.99,56.0,69.16,Low
V0310,Urban,Bus,32.02,2.26,Non-Renewable,2.11,107,101.63,-56.67,964,42.85,216.08,216.08,84.44,Medium
V0311,Urban,Truck,74.45,2.66,Non-Renewable,4.58,115,67.6,-49.62,257,32.04,374.94,374.94,85.42,High
V0312,Highway,Bus,20.58,-2.11,Hybrid,6.43,94,186.44,-64.57,262,21.15,128.38,64.19,98.93,Low
V0313,Highway,Truck,52.46,-0.22,Renewable,3.19,130,675.05,-87.26,883,36.86,315.6,63.12,79.78,Low
V0314,Suburban,Bus,56.65,2.89,Hybrid,2.74,141,741.1,-63.23,315,62.76,362.87,181.44,72.93,Medium
V0315,Highway,Car,59.62,-0.1,Hybrid,8.52,91,797.18,-43.21,961,59.7,204.73,102.36,88.43,Low
V0316,Suburban,EV,89.55,2.18,Hybrid,9.16,28,281.52,-60.12,342,20.54,362.25,181.12,95.61,Medium
V0317,Suburban,Bus,58.86,0.53,Hybrid,8.59,139,340.6,-49.53,256,16.87,447.89,223.94,100.6,Medium
V0318,Suburban,Bus,64.87,-0.75,Non-Renewable,9.19,21,508.98,-49.99,382,7.53,262.45,262.45,103.12,Medium
V0319,Suburban,EV,43.75,-1.29,Non-Renewable,6.42,90,110.02,-43.39,126,6.18,222.31,222.31,109.1,Medium
V0320,Suburban,Bus,57.33,-1.78,Renewable,8.5,83,630.58,-51.49,337,88.58,163.02,32.6,73.33,Low
V0321,Urban,Bus,42.73,1.57,Renewable,5.07,107,984.55,-52.61,96,9.28,321.89,64.38,110.84,Low
V0322,Highway,Truck,27.32,-0.68,Renewable,7.33,15,392.77,-78.29,671,74.47,445.93,89.19,64.16,Low
V0323,Suburban,EV,80.34,0.07,Renewable,9.91,145,765.21,-87.0,249,87.84,196.1,39.22,55.62,Low
V0324,Highway,Car,86.82,-0.05,Hybrid,3.81,134,525.03,-64.12,476,14.32,228.31,114.16,100.07,Low
V0325,Highway,Bus,81.95,0.46,Non-Renewable,5.12,60,171.42,-83.78,259,46.45,232.98,232.98,68.24,Medium
V0326,Suburban,EV,66.35,2.19,Non-Renewable,5.84,20,603.13,-41.89,937,96.42,302.37,302.37,60.73,High
V0327,Urban,Truck,57.98,2.88,Renewable,3.1,194,334.88,-75.5,469,84.24,152.78,30.56,63.6,Low
V0328,Suburban,Car,106.33,-0.55,Renewable,2.65,136,82.68,-47.35,203,51.52,420.0,84.0,91.36,Low
V0329,Urban,EV,71.91,1.97,Hybrid,8.64,149,653.18,-70.62,571,77.44,183.02,91.51,66.39,Low
V0330,Highway,Car,67.92,1.59,Hybrid,9.81,82,865.99,-73.84,464,84.17,367.41,183.7,56.81,Medium
V0331,Urban,Car,22.56,0.44,Renewable,5.24,11,377.53,-43.24,402,38.06,280.95,56.19,101.54,Low
V0332,Urban,Car,54.12,2.74,Non-Renewable,2.7,17,420.78,-71.83,206,89.75,313.65,313.65,48.53,High
V0333,Urban,Bus,58.02,-1.8,Non-Renewable,2.53,148,896.47,-70.49,310,49.69,130.82,130.82,78.37,Low
V0334,Highway,Bus,59.88,-2.34,Non-Renewable,9.13,133,822.93,-84.7,126,55.14,380.76,380.76,56.04,High
V0335,Highway,Truck,78.02,2.12,Renewable,5.71,62,729.21,-56.48,818,99.97,134.88,26.98,65.43,Low
V0336,Urban,Truck,73.36,-0.37,Non-Renewable,4.56,19,286.36,-75.56,537,85.11,101.06,101.06,59.61,Low
V0337,Urban,EV,80.79,2.08,Hybrid,5.81,121,914.71,-60.72,180,39.37,296.01,148.0,87.56,Low
V0338,Suburban,Truck,96.49,2.36,Hybrid,4.55,17,196.69,-60.43,628,5.98,369.18,184.59,102.57,Medium
V0339,Urban,Car,101.3,-2.63,Renewable,5.91,45,645.43,-54.04,504,64.49,72.52,14.5,85.01,Low
V0340,Suburban,Car,91.81,2.3,Hybrid,8.88,115,77.36,-52.74,789,71.87,81.23,40.62,80.66,Low
V0341,Urban,Bus,115.55,-0.31,Renewable,6.74,23,661.53,-64.28,212,66.83,411.21,82.24,75.33,Low
V0342,Suburban,Car,21.82,0.06,Non-Renewable,7.56,191,313.29,-73.45,64,96.95,414.06,414.06,39.1,High
V0343,Highway,EV,39.58,0.76,Non-Renewable,4.92,95,477.19,-48.13,281,86.98,160.39,160.39,69.43,Medium
V0344,Urban,Car,20.76,2.56,Non-Renewable,7.91,158,378.0,-74.51,244,47.64,326.85,326.85,67.58,High
V0345,Urban,Car,84.75,-2.89,Hybrid,7.33,59,214.12,-64.62,910,10.97,249.43,124.72,100.97,Low
V0346,Urban,EV,109.8,-0.14,Renewable,2.96,176,640.88,-69.94,591,50.23,334.71,66.94,81.57,Low
V0347,Urban,Truck,44.35,1.13,Non-Renewable,6.58,29,887.88,-47.25,408,70.48,438.3,438.3,64.22,High
V0348,Suburban,Truck,112.7,1.34,Renewable,4.05,96,961.13,-68.4,899,62.73,85.94,17.19,78.58,Low
V0349,Urban,EV,26.03,1.16,Non-Renewable,8.43,144,232.73,-70.7,380,56.12,400.09,400.09,61.59,High
V0350,Highway,Bus,113.44,-2.19,Hybrid,5.41,146,731.5,-55.51,476,49.54,271.86,135.93,85.68,Low
V0351,Highway,Car,55.16,-1.2,Hybrid,9.96,138,681.12,-59.88,546,32.91,303.86,151.93,91.01,Medium
V0352,Urban,EV,30.14,-0.85,Renewable,2.74,163,376.21,-84.64,877,31.35,344.27,68.85,83.56,Low
V0353,Highway,Car,68.59,1.83,Hybrid,8.24,175,68.14,-64.59,535,52.52,465.18,232.59,74.82,Medium
V0354,Urban,Bus,45.68,-1.33,Hybrid,7.39,47,705.3,-53.23,857,20.26,75.52,37.76,106.37,Low
V0355,Urban,Car,48.49,-1.74,Renewable,8.14,198,948.22,-40.4,498,37.37,63.26,12.65,105.48,Low
V0356,Highway,EV,50.73,2.74,Non-Renewable,4.46,53,650.51,-58.54,462,35.78,130.22,130.22,91.33,Low
V0357,Urban,Car,100.3,-2.95,Hybrid,5.94,95,463.53,-71.49,379,60.78,493.9,246.95,66.52,Medium
V0358,Highway,Truck,73.92,2.99,Renewable,8.37,53,548.9,-78.69,781,11.33,371.78,74.36,96.27,Low
V0359,Suburban,Bus,51.13,1.06,Hybrid,3.86,83,239.65,-46.36,938,83.82,326.59,163.29,71.75,Medium
V0360,Urban,Bus,81.03,1.97,Hybrid,3.81,128,763.02,-49.27,196,58.43,71.17,35.58,89.37,Low
V0361,Suburban,Bus,91.62,-1.23,Hybrid,6.41,199,759.1,-78.3,308,68.73,445.6,222.8,60.34,Medium
V0362,Highway,EV,47.26,-2.91,Hybrid,6.19,131,188.24,-79.97,341,71.79,415.74,207.87,58.73,Medium
V0363,Suburban,Bus,61.35,1.43,Renewable,4.26,143,884.08,-54.24,860,32.69,349.16,69.83,98.04,Low
V0364,Suburban,Truck,32.19,2.0,Renewable,4.38,154,305.73,-74.25,192,49.69,202.61,40.52,81.0,Low
V0365,Highway,EV,38.11,1.44,Renewable,4.22,60,983.14,-74.68,986,95.84,81.73,16.35,58.92,Low
V0366,Suburban,Truck,88.11,-2.14,Hybrid,8.17,47,413.76,-82.39,796,77.84,311.02,155.51,57.11,Medium
V0367,Suburban,Car,38.14,1.52,Hybrid,7.22,161,218.99,-76.8,676,97.11,373.86,186.93,48.7,Medium
V0368,Highway,Car,72.52,1.61,Hybrid,8.66,60,384.13,-68.62,414,75.89,92.41,46.2,70.44,Low
V0369,Suburban,Car,90.9,0.95,Renewable,9.8,19,468.17,-53.36,139,21.68,335.2,67.04,104.13,Low
V0370,Highway,Car,30.69,1.6,Hybrid,5.79,129,115.84,-73.18,769,11.13,178.86,89.43,98.37,Low
V0371,Suburban,Truck,76.73,2.08,Non-Renewable,2.53,158,599.31,-73.57,213,59.88,393.91,393.91,58.58,High
V0372,Highway,EV,45.66,0.68,Hybrid,2.38,79,617.75,-75.75,530,38.99,292.83,146.42,80.31,Low
V0373,Highway,EV,116.29,-2.47,Non-Renewable,4.37,94,751.98,-66.09,133,31.17,108.07,108.07,90.97,Low
V0374,Suburban,Bus,68.35,-0.07,Hybrid,9.46,66,77.71,-80.97,126,81.69,286.93,143.46,56.5,Low
V0375,Suburban,Truck,100.6,-2.53,Renewable,6.19,135,564.18,-65.72,722,39.86,228.08,45.62,89.93,Low
V0376,Suburban,Car,75.02,-0.55,Hybrid,4.17,48,100.26,-54.79,566,35.12,131.16,65.58,96.77,Low
V0377,Urban,Truck,24.34,-0.56,Non-Renewable,5.19,42,716.09,-88.51,534,85.75,428.68,428.68,36.44,High
V0378,Urban,Bus,83.32,-2.6,Non-Renewable,6.79,196,102.94,-89.51,639,85.4,54.96,54.96,54.8,Low
V0379,Urban,Bus,115.14,-0.91,Hybrid,7.22,27,916.14,-86.24,652,38.85,190.46,95.23,77.69,Low
V0380,Highway,Truck,80.16,-2.33,Non-Renewable,3.23,193,716.98,-63.22,648,84.09,55.67,55.67,68.56,Low
V0381,Suburban,Truck,101.92,1.85,Non-Renewable,9.82,66,532.02,-47.28,831,85.82,93.2,93.2,73.79,Low
V0382,Highway,Truck,108.42,2.69,Renewable,6.36,105,469.43,-89.76,153,45.27,183.69,36.74,75.65,Low
V0383,Urban,EV,42.81,-2.57,Hybrid,3.09,57,174.14,-43.17,501,11.31,74.42,37.21,115.9,Low
V0384,Suburban,Car,41.2,2.73,Hybrid,9.15,51,326.45,-84.69,536,5.15,318.48,159.24,92.12,Medium
V0385,Highway,Truck,81.1,0.14,Hybrid,2.6,36,875.51,-47.9,388,54.71,89.09,44.54,91.47,Low
V0386,Suburban,Truck,61.1,-1.2,Non-Renewable,9.26,83,909.23,-65.86,736,37.69,365.77,365.77,74.94,High
V0387,Highway,Truck,103.99,-2.54,Hybrid,9.97,119,50.71,-57.03,615,99.73,73.69,36.84,64.78,Low
V0388,Suburban,Bus,110.0,0.0,Hybrid,7.6,189,614.43,-64.47,949,78.38,76.69,38.34,71.66,Low
V0389,Urban,Bus,55.34,1.77,Renewable,8.16,179,733.34,-66.15,527,77.32,187.4,37.48,71.39,Low
V0390,Urban,EV,43.69,1.24,Renewable,4.7,41,637.81,-48.26,772,95.75,453.46,90.69,68.46,Low
V0391,Suburban,Car,98.05,-2.7,Renewable,9.53,35,127.6,-52.21,656,89.33,338.63,67.73,70.84,Low
V0392,Highway,EV,47.48,-2.56,Non-Renewable,6.24,34,256.84,-65.83,272,35.23,396.56,396.56,74.64,High
V0393,Urban,Car,102.26,-0.58,Hybrid,7.86,84,287.82,-84.42,58,20.77,113.7,56.85,89.56,Low
V0394,Urban,Bus,62.37,-1.23,Renewable,9.39,32,840.14,-84.23,102,75.86,425.36,85.07,60.7,Low
V0395,Urban,Bus,86.75,-1.61,Renewable,9.8,66,490.04,-49.92,126,40.94,53.67,10.73,99.03,Low
V0396,Suburban,Bus,29.55,-1.31,Renewable,8.67,189,512.49,-63.53,767,49.95,145.88,29.18,86.8,Low
V0397,Suburban,EV,82.39,1.82,Hybrid,4.42,135,938.15,-65.92,552,64.89,327.24,163.62,71.41,Medium
V0398,Highway,Truck,65.18,2.58,Hybrid,9.73,96,655.23,-55.97,365,91.25,218.86,109.43,65.92,Low
V0399,Highway,Truck,78.66,-0.57,Hybrid,7.02,40,903.73,-47.06,863,44.81,492.89,246.44,86.74,Medium
V0400,Highway,Bus,36.8,2.44,Non-Renewable,9.45,73,483.68,-58.56,871,79.42,63.65,63.65,72.83,Low
V0401,Suburban,Truck,93.69,-1.07,Non-Renewable,7.41,42,191.96,-51.86,891,30.49,499.37,499.37,78.86,High
V0402,Suburban,Truck,106.28,-0.14,Renewable,4.46,11,933.44,-51.74,673,71.31,330.63,66.13,80.17,Low
V0403,Highway,EV,41.67,-1.64,Hybrid,4.96,27,485.77,-72.19,912,5.15,301.42,150.71,98.79,Medium
V0404,Highway,Car,29.57,0.84,Renewable,6.4,184,222.55,-76.3,214,87.79,76.78,15.36,62.19,Low
V0405,Suburban,Bus,22.36,2.87,Hybrid,8.32,170,337.28,-49.94,328,7.89,173.0,86.5,111.76,Low
V0406,Highway,Bus,84.2,0.62,Hybrid,4.54,93,98.26,-71.14,76,72.71,466.1,233.05,61.42,Medium
V0407,Urban,EV,80.71,-0.85,Hybrid,6.64,44,494.89,-44.83,119,9.39,209.41,104.7,112.66,Low
V0408,Suburban,EV,74.67,0.89,Non-Renewable,4.76,188,860.47,-86.52,267,30.29,347.74,347.74,69.21,High
V0409,Highway,Truck,43.19,-2.26,Non-Renewable,8.53,123,936.9,-87.09,1011,52.23,499.77,499.77,50.35,High
V0410,Suburban,Bus,59.09,2.33,Hybrid,5.73,155,935.97,-43.65,414,44.89,168.38,84.19,96.52,Low
V0411,Urban,Car,79.45,0.02,Renewable,2.61,119,168.97,-57.58,750,23.22,309.24,61.85,101.51,Low
V0412,Suburban,EV,69.68,-0.3,Hybrid,3.33,97,412.95,-71.02,894,36.71,363.4,181.7,82.05,Medium
V0413,Suburban,Car,118.78,0.52,Hybrid,2.49,81,76.82,-52.25,996,74.13,124.08,62.04,78.71,Low
V0414,Suburban,Car,33.64,0.75,Renewable,5.99,134,862.41,-56.38,355,68.58,116.9,23.38,81.35,Low
V0415,Suburban,Bus,89.51,-2.57,Hybrid,2.85,39,390.82,-63.44,173,11.82,255.34,127.67,100.99,Low
V0416,Urban,Bus,60.43,1.1,Renewable,2.91,181,649.56,-85.06,68,76.0,223.62,44.72,62.23,Low
V0417,Suburban,EV,62.82,-1.55,Non-Renewable,9.53,62,729.15,-49.39,306,10.04,371.4,371.4,96.72,High
V0418,Suburban,Bus,91.76,1.28,Non-Renewable,8.98,147,458.35,-46.7,345,56.58,81.28,81.28,89.3,Low
V0419,Highway,Bus,89.24,1.94,Renewable,5.62,96,341.12,-81.39,977,29.71,487.47,97.49,84.58,Low
V0420,Suburban,Bus,119.13,1.82,Non-Renewable,9.89,189,964.1,-47.47,71,60.83,56.42,56.42,88.03,Low
V0421,Highway,Car,32.84,0.32,Non-Renewable,2.0,186,966.26,-46.11,929,29.83,320.59,320.59,91.0,High
V0422,Urban,EV,30.41,0.12,Renewable,6.91,148,324.96,-62.53,499,98.57,303.18,60.64,61.42,Low
V0423,Urban,Truck,92.43,-2.14,Non-Renewable,6.93,195,505.64,-57.19,601,34.42,110.62,110.62,93.66,Low
V0424,Urban,Car,77.84,1.65,Hybrid,5.66,173,974.2,-70.89,599,27.99,117.91,58.96,92.61,Low
V0425,Urban,Bus,47.42,-1.37,Hybrid,5.18,170,54.62,-75.91,97,31.45,406.7,203.35,81.15,Medium
V0426,Highway,Car,27.94,-0.02,Renewable,5.64,184,442.04,-53.9,744,90.16,449.4,89.88,68.48,Low
V0427,Suburban,Bus,28.57,-1.29,Non-Renewable,5.32,22,145.43,-46.91,636,65.44,177.36,177.36,79.96,Medium
V0428,Urban,Bus,109.42,-2.2,Hybrid,7.84,49,533.7,-57.3,770,74.41,247.08,123.54,72.97,Low
V0429,Suburban,Car,39.19,0.78,Hybrid,3.08,98,73.44,-64.42,232,92.21,209.75,104.88,61.44,Low
V0430,Highway,EV,52.34,-2.67,Non-Renewable,3.58,77,436.55,-82.05,484,91.63,82.65,82.65,54.03,Low
V0431,Highway,Bus,42.67,1.49,Non-Renewable,3.44,51,259.66,-87.33,156,75.2,352.94,352.94,46.09,High
V0432,Highway,EV,55.5,-1.09,Hybrid,4.1,156,556.64,-67.72,237,23.79,421.34,210.67,88.71,Medium
V0433,Urban,Truck,26.94,-3.0,Hybrid,6.2,103,996.19,-87.53,825,85.12,187.2,93.6,54.0,Low
V0434,Suburban,Bus,71.91,0.07,Renewable,2.89,28,810.51,-61.53,135,24.36,495.58,99.12,97.1,Low
V0435,Suburban,EV,26.76,-2.72,Renewable,8.95,195,853.36,-70.86,885,75.58,84.13,16.83,70.94,Low
V0436,Suburban,EV,100.04,-1.34,Hybrid,4.38,32,653.5,-52.14,892,70.13,347.81,173.9,75.17,Medium
V0437,Highway,Truck,43.37,1.24,Renewable,3.3,63,89.48,-74.72,505,77.09,251.7,50.34,66.58,Low
